"id","product_style_id","image_url"
35,6,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/c263d015-b6cd-4140-a765-2d889ef4c335/blazer-low-shoes-PmgCt4.png"
36,7,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/9c1bee74-830c-4c1c-b46b-dc0c0b5210bb/blazer-low-shoes-PmgCt4.png"
37,7,"https://static.nike.com/a/videos/t_PDP_1280_v1/f_auto,q_auto:eco,so_0/6ed0cdea-ae2f-453d-aa1e-dc51204706ed/blazer-low-shoes-PmgCt4.jpg"
38,7,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/6dc90e2f-c31f-4de5-90a7-6d56be6d2a7c/blazer-low-shoes-PmgCt4.png"
39,7,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/6c0f4275-00aa-4fee-9d50-ed174621eec2/blazer-low-shoes-PmgCt4.png"
40,7,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/ac83d114-6069-4bd7-b8e2-687ad1321f58/blazer-low-shoes-PmgCt4.png"
41,8,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/e64754b1-e67c-43c0-b015-3732ee6b2a7c/burrow-slipper-57g87N.png"
42,8,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/ac3792b5-3324-4326-b7a5-3f6ecc122640/burrow-slipper-57g87N.png"
43,8,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/eb963221-9eec-44af-a3ff-0260a674d218/burrow-slipper-57g87N.png"
44,8,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/c87cfe1c-1215-4641-bd6e-c7e000870473/burrow-slipper-57g87N.png"
45,8,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/0a809b9f-1aeb-44ca-a29b-dbc8a6ce3864/burrow-slipper-57g87N.png"
46,8,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/316d1994-556c-4567-a814-73910cef90e4/burrow-slipper-57g87N.png"
47,9,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/ad120cab-5e8b-4243-a4ee-e21a2633c6de/burrow-slipper-57g87N.png"
